table,number,alpha,beta
1,1,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/8, 3/8, 5/8, 7/8)"
1,2,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/12, 5/12, 7/12, 11/12)"
1,3,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/10, 3/10, 7/10, 9/10)"
1,4,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/10, 3/10, 7/10, 9/10)"
1,5,"(0, 1/3, 2/3, 1/6, 5/6)","(1/2, 1/5, 2/5, 3/5, 4/5)"
1,6,"(0, 1/10, 3/10, 7/10, 9/10)","(1/2, 1/3, 2/3, 1/4, 3/4)"
1,7,"(0, 1/10, 3/10, 7/10, 9/10)","(1/2, 1/8, 3/8, 5/8, 7/8)"
2,8,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/10, 3/10, 7/10, 9/10)"
2,9,"(0, 1/3, 1/3, 2/3, 2/3)","(1/2, 1/4, 1/4, 3/4, 3/4)"
2,10,"(0, 1/3, 1/3, 2/3, 2/3)","(1/2, 1/5, 2/5, 3/5, 4/5)"
2,11,"(0, 1/3, 1/3, 2/3, 2/3)","(1/2, 1/6, 1/6, 5/6, 5/6)"
2,12,"(0, 1/3, 1/3, 2/3, 2/3)","(1/2, 1/10, 3/10, 7/10, 9/10)"
2,13,"(0, 1/3, 1/3, 2/3, 2/3)","(1/2, 1/12, 5/12, 7/12, 11/12)"
2,14,"(0, 1/3, 2/3, 1/4, 3/4)","(1/2, 1/5, 2/5, 3/5, 4/5)"
2,15,"(0, 1/5, 2/5, 3/5, 4/5)","(1/2, 1/4, 1/4, 3/4, 3/4)"
2,16,"(0, 1/10, 3/10, 7/10, 9/10)","(1/2, 1/4, 1/4, 3/4, 3/4)"
2,17,"(0, 1/12, 5/12, 7/12, 11/12)","(1/2, 1/4, 1/4, 3/4, 3/4)"
2,18,"(0, 1/12, 5/12, 7/12, 11/12)","(1/2, 1/10, 3/10, 7/10, 9/10)"
3,19,"(0, 0, 0, 0, 0)","(1/2, 1/4, 1/4, 3/4, 3/4)"
3,20,"(0, 0, 0, 0, 0)","(1/2, 1/6, 1/6, 5/6, 5/6)"
4,21,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/4, 1/4, 3/4, 3/4)"
4,22,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/4, 3/4, 1/6, 5/6)"
4,23,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/6, 1/6, 5/6, 5/6)"
4,24,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/6, 1/6, 5/6, 5/6)"
4,25,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/4, 1/4, 3/4, 3/4)"
4,26,"(0, 1/3, 1/3, 2/3, 2/3)","(1/2, 1/4, 3/4, 1/6, 5/6)"
4,27,"(0, 1/3, 1/3, 2/3, 2/3)","(1/2, 1/8, 3/8, 5/8, 7/8)"
4,28,"(0, 1/3, 2/3, 1/4, 3/4)","(1/2, 1/8, 3/8, 5/8, 7/8)"
4,29,"(0, 1/3, 2/3, 1/4, 3/4)","(1/2, 1/12, 5/12, 7/12, 11/12)"
4,30,"(0, 1/3, 2/3, 1/6, 5/6)","(1/2, 1/4, 1/4, 3/4, 3/4)"
4,31,"(0, 1/3, 2/3, 1/6, 5/6)","(1/2, 1/8, 3/8, 5/8, 7/8)"
4,32,"(0, 1/3, 2/3, 1/6, 5/6)","(1/2, 1/12, 5/12, 7/12, 11/12)"
4,33,"(0, 1/5, 2/5, 3/5, 4/5)","(1/2, 1/3, 1/3, 2/3, 2/3)"
4,34,"(0, 1/5, 2/5, 3/5, 4/5)","(1/2, 1/3, 2/3, 1/4, 3/4)"
4,35,"(0, 1/6, 1/6, 5/6, 5/6)","(1/2, 1/3, 1/3, 2/3, 2/3)"
4,36,"(0, 1/6, 1/6, 5/6, 5/6)","(1/2, 1/3, 2/3, 1/4, 3/4)"
4,37,"(0, 1/6, 1/6, 5/6, 5/6)","(1/2, 1/4, 1/4, 3/4, 3/4)"
4,38,"(0, 1/8, 3/8, 5/8, 7/8)","(1/2, 1/3, 1/3, 2/3, 2/3)"
4,39,"(0, 1/8, 3/8, 5/8, 7/8)","(1/2, 1/3, 2/3, 1/4, 3/4)"
4,40,"(0, 1/8, 3/8, 5/8, 7/8)","(1/2, 1/4, 1/4, 3/4, 3/4)"
4,41,"(0, 1/12, 5/12, 7/12, 11/12)","(1/2, 1/3, 2/3, 1/4, 3/4)"
4,42,"(0, 1/12, 5/12, 7/12, 11/12)","(1/2, 1/5, 2/5, 3/5, 4/5)"
4,43,"(0, 1/12, 5/12, 7/12, 11/12)","(1/2, 1/8, 3/8, 5/8, 7/8)"
5,44,"(0, 1/3, 2/3, 1/4, 3/4)","(1/2, 1/10, 3/10, 7/10, 9/10)"
5,45,"(0, 1/3, 2/3, 1/6, 5/6)","(1/2, 1/10, 3/10, 7/10, 9/10)"
5,46,"(0, 1/5, 2/5, 3/5, 4/5)","(1/2, 1/10, 3/10, 7/10, 9/10)"
5,47,"(0, 1/8, 3/8, 5/8, 7/8)","(1/2, 1/10, 3/10, 7/10, 9/10)"
6,48,"(0, 0, 0, 0, 0)","(1/2, 1/2, 1/2, 1/2, 1/2)"
